ID,price,currency,brand,model,year,mileage,engine_volume,fuel_type,power,transmission,bodytype,colour
ID: 6123915676,25 900,PLN,Dacia,Logan,2015,119 000 km,1 149 cm3,Benzyna+LPG,75 KM,Manualna,Kombi,Niebieski

ID: 6123915676,25 900,PLN,Dacia,Logan,2015,119 000 km,1 149 cm3,Benzyna+LPG,75 KM,Manualna,Kombi,Niebieski

ID: 6123486862,69 999,PLN,Renault,Arkana,2022,2 950 km,1 598 cm3,Hybryda,94 KM,Automatyczna,SUV,Czerwony

ID: 6123486862,69 999,PLN,Renault,Arkana,2022,2 950 km,1 598 cm3,Hybryda,94 KM,Automatyczna,SUV,Czerwony

ID: 6123915610,49 900,PLN,Citroën,DS4,2017,98 900 km,1 560 cm3,Diesel,120 KM,Automatyczna,Kompakt,Granatowy

ID: 6119562625,77 900,PLN,Audi,A6,2013,256 300 km,2 967 cm3,313 KM,Diesel,Automatyczna,Kombi,Czarny

ID: 6119562625,77 900,PLN,Audi,A6,2013,256 300 km,2 967 cm3,313 KM,Diesel,Automatyczna,Kombi,Czarny

ID: 6123903642,99 900,PLN,Honda,Civic,2021,46 453 km,988 cm3,Benzyna,126 KM,Manualna,Kompakt,Szary

ID: 6123903642,99 900,PLN,Honda,Civic,2021,46 453 km,988 cm3,Benzyna,126 KM,Manualna,Kompakt,Szary

ID: 6118670808,300 000,PLN,Rolls-Royce,Corniche,1983,93 000 km,6 750 cm3,Benzyna,256 KM,Automatyczna,Kabriolet,Czarny

ID: 6122156914,105 000,PLN,SsangYong,REXTON,2019,38 478 km,2 157 cm3,Diesel,181 KM,Automatyczna,SUV,Biały

ID: 6122156914,105 000,PLN,SsangYong,REXTON,2019,38 478 km,2 157 cm3,Diesel,181 KM,Automatyczna,SUV,Biały

ID: 6123903372,14 200,PLN,Mercedes-Benz,Klasa E,1999,380 000 km,3 199 cm3,Benzyna+LPG,224 KM,Automatyczna,Kombi,Szary

ID: 6123903372,14 200,PLN,Mercedes-Benz,Klasa E,1999,380 000 km,3 199 cm3,Benzyna+LPG,224 KM,Automatyczna,Kombi,Szary

ID: 6123915459,29 000,PLN,Mercedes-Benz,Klasa C,2008,224 300 km,2 148 cm3,Diesel,170 KM,Automatyczna,Sedan,Czarny

ID: 6122660920,50 999,PLN,Audi,A4,2014,218 000 km,1 798 cm3,Benzyna,170 KM,Manualna,Sedan,Czarny

ID: 6122660920,50 999,PLN,Audi,A4,2014,218 000 km,1 798 cm3,Benzyna,170 KM,Manualna,Sedan,Czarny

ID: 6123848649,13 900,PLN,Citroën,C4 Picasso,2010,164 000 km,1 598 cm3,Benzyna,120 KM,Manualna,Minivan,Srebrny

ID: 6123848649,13 900,PLN,Citroën,C4 Picasso,2010,164 000 km,1 598 cm3,Benzyna,120 KM,Manualna,Minivan,Srebrny

ID: 6123635622,73 900,PLN,Seat,Leon,2022,54 221 km,999 cm3,Benzyna,110 KM,Manualna,Kombi,Srebrny





ID: 6124365194,79 999,PLN,Mitsubishi,Eclipse Cross,2018,99 999 km,1 499 cm3,163 KM,Benzyna,Manualna,SUV,Biały

ID: 6124365194,79 999,PLN,Mitsubishi,Eclipse Cross,2018,99 999 km,1 499 cm3,Benzyna,163 KM,Manualna,SUV,Biały

ID: 6124365194,79 999,PLN,Mitsubishi,Eclipse Cross,2018,99 999 km,1 499 cm3,Benzyna,163 KM,Manualna,SUV,Biały

ID: 6124365194,79 999,PLN,Mitsubishi,Eclipse Cross,2018,99 999 km,1 499 cm3,Benzyna,163 KM,Manualna,SUV,Biały

ID: 6124365194,79 999,PLN,Mitsubishi,Eclipse Cross,2018,99 999 km,1 499 cm3,Benzyna,163 KM,Manualna,SUV,Biały

ID: 6107216892,13 900,PLN,Mercedes-Benz,W124 (1984-1993),1990,208 642 km,2 298 cm3,Benzyna,132 KM,Manualna,Sedan,Szary

ID: 6107216892,13 900,PLN,Mercedes-Benz,W124 (1984-1993),1990,208 642 km,2 298 cm3,Benzyna,132 KM,Manualna,Sedan,Szary

ID: 6123904376,17 900,PLN,Dacia,Duster,2011,245 084 km,1 461 cm3,Diesel,110 KM,Manualna,SUV,Biały

ID: 6123904376,17 900,PLN,Dacia,Duster,2011,245 084 km,1 461 cm3,Diesel,110 KM,Manualna,SUV,Biały

ID: 6123700967,22 000,PLN,Citroën,C3,2014,108 000 km,1 199 cm3,Benzyna,82 KM,Manualna,Kompakt,Niebieski



ID: 6123904162,149 000,PLN,Audi,A5,2020,162 000 km,1 968 cm3,Diesel,190 KM,Automatyczna,Coupe,Biały

ID: 6123904162,149 000,PLN,Audi,A5,2020,162 000 km,1 968 cm3,Diesel,190 KM,Automatyczna,Coupe,Biały

ID: 6123916724,54 900,PLN,Kia,Stonic,2022,7 120 km,1 197 cm3,Benzyna,84 KM,Manualna,Auta małe,Czarny

ID: 6123916724,54 900,PLN,Kia,Stonic,2022,7 120 km,1 197 cm3,Benzyna,84 KM,Manualna,Auta małe,Czarny

ID: 6123916639,20 998,PLN,Volkswagen,Passat,2008,243 470 km,1 968 cm3,140 KM,Diesel,Manualna,Kombi,Granatowy

ID: 6123350458,11 900,PLN,Toyota,Verso,2012,250 421 km,1 998 cm3,Diesel,126 KM,Manualna,Minivan,Biały

ID: 6123350458,11 900,PLN,Toyota,Verso,2012,250 421 km,1 998 cm3,Diesel,126 KM,Manualna,Minivan,Biały

ID: 6124204143,22 556,EUR,Volkswagen,Tiguan,2021,42 900 km,1 968 cm3,Diesel,200 KM,Automatyczna,SUV,Biały

ID: 6124204143,22 556,EUR,Volkswagen,Tiguan,2021,42 900 km,1 968 cm3,Diesel,200 KM,Automatyczna,SUV,Biały

ID: 6124365194,79 999,PLN,Mitsubishi,Eclipse Cross,2018,99 999 km,1 499 cm3,Benzyna,163 KM,Manualna,SUV,Biały

ID: 6123916575,19 500,PLN,Volvo,S40,2010,180 000 km,1 998 cm3,Diesel,136 KM,Manualna,Sedan,Inny kolor

ID: 6123916575,19 500,PLN,Volvo,S40,2010,180 000 km,1 998 cm3,136 KM,Diesel,Manualna,Sedan,Inny kolor

ID: 6107216892,13 900,PLN,Mercedes-Benz,W124 (1984-1993),1990,208 642 km,2 298 cm3,Benzyna,132 KM,Manualna,Sedan,Szary

ID: 6107216892,13 900,PLN,Mercedes-Benz,W124 (1984-1993),1990,208 642 km,2 298 cm3,Benzyna,132 KM,Manualna,Sedan,Szary

ID: 6123904376,17 900,PLN,Dacia,Duster,2011,245 084 km,1 461 cm3,Diesel,110 KM,Manualna,SUV,Biały

ID: 6122913609,229 900,PLN,Mercedes-Benz,Klasa E,2018,74 000 km,2 925 cm3,Diesel,340 KM,Automatyczna,Sedan,Szary

ID: 6122913609,229 900,PLN,Mercedes-Benz,Klasa E,2018,74 000 km,2 925 cm3,340 KM,Diesel,Automatyczna,Sedan,Szary

ID: 6124364907,37 999,PLN,Opel,Astra,2017,192 000 km,1 598 cm3,Diesel,110 KM,Manualna,Kompakt,Czarny

ID: 6124364907,37 999,PLN,Opel,Astra,2017,192 000 km,1 598 cm3,Diesel,110 KM,Manualna,Kompakt,Czarny

ID: 6123904198,79 000,PLN,Mercedes-Benz,Klasa C,2017,152 100 km,1 598 cm3,Diesel,116 KM,Manualna,Kombi,Brązowy

ID: 6121779987,99 999,PLN,BMW,Seria 5,2017,208 228 km,1 995 cm3,Diesel,190 KM,Automatyczna,Sedan,Czarny

ID: 6121779987,99 999,PLN,BMW,Seria 5,2017,208 228 km,1 995 cm3,Diesel,190 KM,Automatyczna,Sedan,Czarny

ID: 6123903403,35 600,PLN,Hyundai,H-1 Starex,2015,204 000 km,2 497 cm3,Diesel,136 KM,Manualna,Minivan,Czarny

ID: 6123903403,35 600,PLN,Hyundai,H-1 Starex,2015,204 000 km,2 497 cm3,Diesel,136 KM,Manualna,Minivan,Czarny

ID: 6123916484,169 000,PLN,Ford,Mustang,2021,5 069 km,5 038 cm3,Benzyna,450 KM,Manualna,Coupe,Szary

ID: 6123916419,65 000,PLN,Nissan,Qashqai,2017,85 000 km,1 497 cm3,Benzyna,158 KM,Automatyczna,SUV,Czarny

ID: 6123916419,65 000,PLN,Nissan,Qashqai,2017,85 000 km,1 497 cm3,Benzyna,158 KM,Automatyczna,SUV,Czarny

ID: 6123914342,24 500,PLN,Citroën,C5,2011,243 000 km,1 997 cm3,136 KM,Diesel,Manualna,Kombi,Szary

ID: 6123914342,24 500,PLN,Citroën,C5,2011,243 000 km,1 997 cm3,Diesel,136 KM,Manualna,Kombi,Szary

ID: 6123904131,26 400,PLN,BMW,Seria 3,1994,141 304 km,1 991 cm3,Benzyna,150 KM,Automatyczna,Kabriolet,Zielony

